Grass Ground,(1.50, 0.00, 3.50)
Grass Ground,(2.50, 0.00, 3.50)
Grass Ground,(3.50, 0.00, 3.50)
Grass Ground,(4.50, 0.00, 3.50)
Grass Ground,(5.50, 0.00, 3.50)
Grass Ground,(6.50, 0.00, 3.50)
Grass Ground,(1.50, 0.00, 4.50)
Grass Ground,(2.50, 0.00, 4.50)
Grass Ground,(3.50, 0.00, 4.50)
Grass Ground,(4.50, 0.00, 4.50)
Grass Ground,(5.50, 0.00, 4.50)
Grass Ground,(6.50, 0.00, 4.50)
Grass Ground,(1.50, 0.00, 5.50)
Grass Ground,(2.50, 0.00, 5.50)
Grass Ground,(3.50, 0.00, 5.50)
Grass Ground,(4.50, 0.00, 5.50)
Grass Ground,(5.50, 0.00, 5.50)
Grass Ground,(6.50, 0.00, 5.50)
Grass Ground,(1.50, 0.00, 6.50)
Grass Ground,(2.50, 0.00, 6.50)
Grass Ground,(3.50, 0.00, 6.50)
Grass Ground,(4.50, 0.00, 6.50)
Grass Ground,(5.50, 0.00, 6.50)
Grass Ground,(6.50, 0.00, 6.50)
Grass Ground,(1.50, 0.00, 7.50)
Grass Ground,(2.50, 0.00, 7.50)
Grass Ground,(4.50, 0.00, 7.50)
Grass Ground,(5.50, 0.00, 7.50)
Grass Ground,(6.50, 0.00, 7.50)
Grass Ground,(1.50, 0.00, 8.50)
Grass Ground,(2.50, 0.00, 8.50)
Grass Ground,(4.50, 0.00, 8.50)
Grass Ground,(5.50, 0.00, 8.50)
Grass Ground,(6.50, 0.00, 8.50)
Grass Ground,(7.50, 0.00, 8.50)
Grass Ground,(8.50, 0.00, 8.50)
Grass Ground,(9.50, 0.00, 8.50)
Grass Ground,(10.50, 0.00, 8.50)
Grass Ground,(11.50, 0.00, 8.50)
Grass Ground,(12.50, 0.00, 8.50)
Grass Ground,(1.50, 0.00, 9.50)
Grass Ground,(2.50, 0.00, 9.50)
Grass Ground,(4.50, 0.00, 9.50)
Grass Ground,(5.50, 0.00, 9.50)
Grass Ground,(6.50, 0.00, 9.50)
Grass Ground,(7.50, 0.00, 9.50)
Grass Ground,(8.50, 0.00, 9.50)
Grass Ground,(9.50, 0.00, 9.50)
Grass Ground,(10.50, 0.00, 9.50)
Grass Ground,(11.50, 0.00, 9.50)
Grass Ground,(12.50, 0.00, 9.50)
Grass Ground,(1.50, 0.00, 10.50)
Grass Ground,(2.50, 0.00, 10.50)
Grass Ground,(4.50, 0.00, 10.50)
Grass Ground,(5.50, 0.00, 10.50)
Grass Ground,(6.50, 0.00, 10.50)
Grass Ground,(7.50, 0.00, 10.50)
Grass Ground,(8.50, 0.00, 10.50)
Grass Ground,(9.50, 0.00, 10.50)
Grass Ground,(10.50, 0.00, 10.50)
Grass Ground,(11.50, 0.00, 10.50)
Grass Ground,(12.50, 0.00, 10.50)
Grass Ground,(1.50, 0.00, 11.50)
Grass Ground,(2.50, 0.00, 11.50)
Grass Ground,(11.50, 0.00, 11.50)
